PycityLayers Index,Street_no,Postal_Code,Error_Code,Price,Consumption,City ID,Address
219863,4519,H2J 3S6,0,370,2390,503862143,4519 rue Garnier Montréal QC H2J 3S6
270993,4642,H2H 2A1,0,630,5890,501588462,4642 rue de Bordeaux Montréal QC H2H 2A1
241612,4624,H2J 3Y4,0,950,9780,503404620,4624 rue Marquette Montréal QC H2J 3Y4
272344,1464,H2J 2C6,0,"1,000",10600,500962350,1464 rue Marie-Anne E Montréal QC H2J 2C6
283164,4638,H2J 3Y4,0,"2,090",20640,501408808,4638 rue Marquette Montréal QC H2J 3Y4
15365,4399,H2J 3G4,0,"1,460",15040,502582599,4399 av Christophe-Colomb Montréal QC H2J 3G4
260726,4240,H2J 3B2,0,"1,580",16470,501288831,4240 rue de Mentana Montréal QC H2J 3B2
196780,832,H2J 1N9,0,"1,220",12690,500130042,832 rue Gilford Montréal QC H2J 1N9
238953,1310,H2J 1R5,0,"1,660",15880,502675660,1-1310 rue Gilford Montréal QC H2J 1R5
238953,1310,H2J 1R5,0,520,4410,502675650,2-1310 rue Gilford Montréal QC H2J 1R5
22167,4402,H2H 1W5,0,810,8190,500341459,4402 rue Cartier Montréal QC H2H 1W5
20221,1130,H2J 1P8,0,680,6570,500845437,1130 rue Gilford Montréal QC H2J 1P8
23638,4661,H2H 1Z9,0,910,9610,501589346,4661 rue de Bordeaux Montréal QC H2H 1Z9
20144,4846,H2J 3J7,0,"1,260",12800,500789524,4846 rue de la Roche Montréal QC H2J 3J7
223147,770,H2J 2H5,0,"1,720",17150,502041767,0001-770 rue Rachel E Montréal QC H2J 2H5
223147,770,H2J 2H5,0,600,5470,502041753,2-770 rue Rachel E Montréal QC H2J 2H5
181,1656,H2J 1M9,0,670,6390,501711105,1-1656 boul Saint-Joseph E Montréal QC H2J 1M9
181,1656,H2J 1M9,0,680,6640,501711090,2-1656 boul Saint-Joseph E Montréal QC H2J 1M9
181,1656,H2J 1M9,0,550,4770,501711095,3-1656 boul Saint-Joseph E Montréal QC H2J 1M9
181,1656,H2J 1M9,0,620,5730,501711100,4-1656 boul Saint-Joseph E Montréal QC H2J 1M9
181,1656,H2J 1M9,0,920,9790,501711113,5-1656 boul Saint-Joseph E Montréal QC H2J 1M9
181,1656,H2J 1M9,0,850,8810,501711107,6-1656 boul Saint-Joseph E Montréal QC H2J 1M9
