,borough_id,building_number,built_area,dwelling_number,firstletter_apt,geom,index,land_area,landuse_code,landuse_text,lastletter_apt,max_floors,municipality_code,nad83_registration,street_name,street_number,uid,unit_category,unit_number,year_built,Tract
91,REM21,1970,242,3,0,"{'type': 'Polygon', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:EPSG::4326'}}, 'coordinates': [[[-73.5763088661597, 45.5357491897748], [-73.5763291564031, 45.5357587154214], [-73.5765934589797, 45.5358830880964], [-73.5766385964755, 45.5358358117745], [-73.5763522098608, 45.5357029946731], [-73.5763088661597, 45.5357491897748]]]}",836,167,1000,Logement,0,3,50,9843-89-2789-3-000-0000,rue Gilford  (MTL),1974,1034460,Régulier,0,1922,0156.00
92,REM21,1976,450,5,0,"{'type': 'Polygon', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:EPSG::4326'}}, 'coordinates': [[[-73.576274019463, 45.5358310162062], [-73.5765290218517, 45.5359505356447], [-73.5765909279714, 45.5358857895675], [-73.5765934589797, 45.5358830880964], [-73.5763291564031, 45.5357587154214], [-73.5762753713622, 45.5358154466057], [-73.576274019463, 45.5358310162062]]]}",840,226,1000,Logement,0,3,50,9843-89-3196-0-000-0000,rue Gilford  (MTL),1984,1034462,Régulier,0,1924,0156.00
95,REM21,818,183,2,0,"{'type': 'Polygon', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:EPSG::4326'}}, 'coordinates': [[[-73.5759187060921, 45.5236370796989], [-73.5758738960741, 45.5236855255249], [-73.5761777561838, 45.5238241819767], [-73.5762225659292, 45.5237756460402], [-73.5759187060921, 45.5236370796989]]]}",849,182,1000,Logement,0,0,50,9842-86-5950-6-000-0000,rue Rachel Est  (MTL),820,1041597,Régulier,0,1900,0142.00
97,REM21,1579,149,1,0,"{'type': 'Polygon', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:EPSG::4326'}}, 'coordinates': [[[-73.5791772438791, 45.5334748372333], [-73.5791340096824, 45.5335209433569], [-73.5794619214929, 45.5336722631139], [-73.5795051554105, 45.5336260668753], [-73.5791772438791, 45.5334748372333]]]}",886,187,1000,Logement,0,2,50,9843-67-0543-2-000-0000,rue Gilford  (MTL),1581,1034543,Régulier,0,1910,0157.00
98,REM21,1450,272,5,0,"{'type': 'Polygon', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:EPSG::4326'}}, 'coordinates': [[[-73.5798183640251, 45.5324903228722], [-73.5794927815642, 45.5323390924785], [-73.5794393206626, 45.5323964549089], [-73.5797647977064, 45.532547685527], [-73.5798183640251, 45.5324903228722]]]}",899,232,1000,Logement,0,4,50,9843-56-8117-0-000-0000,rue Gilford  (MTL),1452,1034403,Régulier,0,1910,0157.00
107,REM21,4551,170,1,0,"{'type': 'Polygon', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:EPSG::4326'}}, 'coordinates': [[[-73.581965193306, 45.5266619635566], [-73.5820374671654, 45.5266945789958], [-73.5821964507508, 45.5265211389244], [-73.5821241770219, 45.5264885235847], [-73.581965193306, 45.5266619635566]]]}",933,153,1000,Logement,0,2,50,9842-39-8867-8-000-0000,rue Saint-Hubert  (MTL),4551,1025728,Régulier,0,1900,0159.00
108,REM21,1651,406,1,0,"{'type': 'Polygon', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:EPSG::4326'}}, 'coordinates': [[[-73.5787818077875, 45.5338974454697], [-73.5787322455204, 45.5339500352619], [-73.5790600530161, 45.5341012662406], [-73.5791096151101, 45.5340486763077], [-73.5787818077875, 45.5338974454697]]]}",955,215,1000,Logement,0,0,50,9843-67-3690-8-000-0000,rue Gilford  (MTL),1653,1034530,Régulier,0,1910,0157.00
120,REM21,1480,840,6,0,"{'type': 'Polygon', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:EPSG::4326'}}, 'coordinates': [[[-73.5808448807695, 45.5335465631267], [-73.5805682176271, 45.533417889315], [-73.5804597130405, 45.533533516175], [-73.5807363765032, 45.5336621902466], [-73.5808448807695, 45.5335465631267]]]}",1069,399,1000,Logement,0,3,50,9843-57-0139-0-000-0000,boulevard Saint-Joseph Est  (MTL),1486,1034579,Régulier,0,1926,0157.00
121,REM21,1991,474,5,0,"{'type': 'Polygon', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:EPSG::4326'}}, 'coordinates': [[[-73.5770014019355, 45.5362449435415], [-73.5766756976439, 45.5360921754284], [-73.5766115768449, 45.536159352831], [-73.5769378096575, 45.5363123007542], [-73.5770014019355, 45.5362449435415]]]}",1073,275,1000,Logement,0,3,50,9844-80-0135-8-000-0000,rue Gilford  (MTL),1999,1034498,Régulier,0,1930,0156.00
127,REM21,806,298,1,0,"{'type': 'Polygon', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:EPSG::4326'}}, 'coordinates': [[[-73.5763118687884, 45.5236788443026], [-73.5763564673699, 45.5236304884387], [-73.5760526079864, 45.5234919224497], [-73.5760080091327, 45.5235401882036], [-73.5763118687884, 45.5236788443026]]]}",1125,181,1000,Logement,0,0,50,9842-86-4933-3-000-0000,rue Rachel Est  (MTL),808,1041599,Régulier,0,1931,0142.00
