,borough_id,building_number,built_area,dwelling_number,firstletter_apt,geom,index,land_area,landuse_code,landuse_text,lastletter_apt,max_floors,municipality_code,nad83_registration,street_name,street_number,uid,unit_category,unit_number,year_built,Tract
2868,REM05,415,266,1,0,"{'type': 'Polygon', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:EPSG::4326'}}, 'coordinates': [[[-73.6077897256431, 45.5165912999162], [-73.6078685528299, 45.5166268626479], [-73.6080775712418, 45.5163952936436], [-73.6079570060781, 45.5163408720233], [-73.6077479873723, 45.5165724408093], [-73.6077897256431, 45.5165912999162]]]}",108230,344,1000,Logement,0,2,50,9641-38-6946-0-000-0000,avenue Stuart  (OUT),415,3037021,Régulier,0,1914,0362.00
2877,REM05,5724,242,2,0,"{'type': 'Polygon', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:EPSG::4326'}}, 'coordinates': [[[-73.6057867840556, 45.5215116355531], [-73.6056877690718, 45.5214677207735], [-73.6055233998712, 45.5216510078748], [-73.6056223094643, 45.5216949228929], [-73.6057867840556, 45.5215116355531]]]}",108500,220,1000,Logement,0,2,50,9642-54-4612-5-000-0000,avenue Durocher  (OUT),5728,3033022,Régulier,0,1963,0363.00
2879,REM05,1130,576,7,0,"{'type': 'Polygon', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:EPSG::4326'}}, 'coordinates': [[[-73.599783649929, 45.5177391422775], [-73.5996681633017, 45.5176879472248], [-73.5995016780976, 45.5178735674408], [-73.5996162141195, 45.5179244035181], [-73.599783649929, 45.5177391422775]]]}",108508,260,1000,Logement,0,3,50,9741-09-1592-6-000-0000,avenue Fairmount Ouest  (MTL+OUT),1130,3033308,Régulier,0,1921,0363.00
2884,REM05,5112,346,3,0,"{'type': 'Polygon', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:EPSG::4326'}}, 'coordinates': [[[-73.5973521367914, 45.5186212795011], [-73.5972479186438, 45.5187371889348], [-73.5971437000685, 45.5188530982716], [-73.5972270662764, 45.5188901943488], [-73.5974356083725, 45.5186583753378], [-73.5973521367914, 45.5186212795011]]]}",108647,241,1000,Logement,0,3,50,9742-10-9998-3-000-0000,rue Hutchison  (MTL+OUT),5116,3033310,Régulier,0,1906,0363.00
2896,REM05,57,179,1,0,"{'type': 'Polygon', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:EPSG::4326'}}, 'coordinates': [[[-73.617476140102, 45.5120648297078], [-73.6172395864369, 45.5123295617187], [-73.6173201026837, 45.5123651162212], [-73.6173419753045, 45.5123748129825], [-73.6175785286783, 45.512110080762], [-73.617476140102, 45.5120648297078]]]}",108789,328,1000,Logement,0,2,50,9541-63-2573-6-000-0000,avenue de Vimy  (MTL+MTR+OUT),57,3034863,Régulier,0,1926,0362.00
2897,REM05,59,203,1,0,"{'type': 'Polygon', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:EPSG::4326'}}, 'coordinates': [[[-73.6174442587687, 45.5124200642627], [-73.617680917231, 45.5121552417313], [-73.6175785286783, 45.512110080762], [-73.6173419753045, 45.5123748129825], [-73.6174442587687, 45.5124200642627]]]}",108791,328,1000,Logement,0,2,50,9541-63-1878-0-000-0000,avenue de Vimy  (MTL+MTR+OUT),59,3034865,Régulier,0,1919,0362.00
2899,REM05,240,248,1,0,"{'type': 'Polygon', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:EPSG::4326'}}, 'coordinates': [[[-73.6019576545727, 45.5163679825437], [-73.6017491395033, 45.5165998098802], [-73.6019140750036, 45.5166730969562], [-73.6021225896654, 45.516441269322], [-73.6019576545727, 45.5163679825437]]]}",108808,465,1000,Logement,0,2,50,9641-88-3649-8-000-0000,avenue McDougall  (OUT),240,3035802,Régulier,0,1910,0362.00
2918,REM05,420,351,4,0,"{'type': 'Polygon', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:EPSG::4326'}}, 'coordinates': [[[-73.5953270901834, 45.5177235097855], [-73.5950786921551, 45.5176134756716], [-73.5949755256046, 45.5177285722425], [-73.5952259335559, 45.5178407647293], [-73.5953270901834, 45.5177235097855]]]}",109538,350,1000,Logement,0,2,50,9741-39-6683-5-000-0000,boulevard Saint-Joseph Ouest  (MTL+OUT),420,3039521,Régulier,0,1923,0363.00
2919,REM05,350,162,1,0,"{'type': 'Polygon', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:EPSG::4326'}}, 'coordinates': [[[-73.6060107937779, 45.5160924248115], [-73.6061098229179, 45.5161487583436], [-73.6063127329836, 45.5159222378194], [-73.6063092461625, 45.5159207111871], [-73.6062060133997, 45.5158745509193], [-73.6060107937779, 45.5160924248115]]]}",109545,289,1000,Logement,0,2,50,9641-57-0694-2-000-0000,avenue Wiseman  (OUT),350,3037573,Régulier,0,1942,0362.00
2920,REM05,337,244,1,0,"{'type': 'Polygon', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:EPSG::4326'}}, 'coordinates': [[[-73.6057936166817, 45.5161995375817], [-73.6057191076458, 45.5161573999461], [-73.6054890258094, 45.516364776039], [-73.6055326513049, 45.5164335802224], [-73.6057936166817, 45.5161995375817]]]}",109546,226,1000,Logement,0,2,50,9641-58-4724-1-000-0000,avenue Wiseman  (OUT),337,3037566,Régulier,0,1931,0362.00
2921,REM05,340,173,1,0,"{'type': 'Polygon', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:EPSG::4326'}}, 'coordinates': [[[-73.6061447287867, 45.5158470700876], [-73.6060993994007, 45.5158267738281], [-73.6059118705785, 45.5160361810875], [-73.6060107937779, 45.5160924248115], [-73.6062060133997, 45.5158745509193], [-73.6061447287867, 45.5158470700876]]]}",109547,278,1000,Logement,0,2,50,9641-57-1488-8-000-0000,avenue Wiseman  (OUT),340,3037568,Régulier,0,1942,0362.00
2933,REM05,519,311,2,0,"{'type': 'Polygon', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:EPSG::4326'}}, 'coordinates': [[[-73.6059448124326, 45.5212134332652], [-73.6058460086797, 45.5211693384391], [-73.6056399142654, 45.5213979307017], [-73.6057190625595, 45.5214329546336], [-73.6057389289208, 45.5214417555309], [-73.6059448124326, 45.5212134332652]]]}",109665,275,1000,Logement,0,2,50,9642-53-3683-9-000-0000,avenue Querbes  (OUT),521,3033957,Régulier,0,1925,0363.00
2944,REM05,5177,304,2,0,"{'type': 'Polygon', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:EPSG::4326'}}, 'coordinates': [[[-73.5984330163187, 45.5187193452499], [-73.5982250063079, 45.5189513456074], [-73.5983087958458, 45.5189885305232], [-73.5985168056487, 45.5187565300149], [-73.5984330163187, 45.5187193452499]]]}",109753,232,1000,Logement,0,3,50,9742-11-1509-4-000-0000,avenue Durocher  (OUT),5181,3032880,Régulier,0,1909,0363.00
2958,REM05,1330,217,1,0,"{'type': 'Polygon', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:EPSG::4326'}}, 'coordinates': [[[-73.6058913747836, 45.516872862975], [-73.6058118954922, 45.5169395312762], [-73.6064974445725, 45.5172426198052], [-73.6065628702815, 45.5171698446332], [-73.6058913747836, 45.516872862975]]]}",110042,599,1000,Logement,0,2,50,9641-59-0309-3-000-0000,avenue Saint-Viateur  (OUT),1330,3036991,Régulier,0,1924,0362.00
2964,REM05,693,357,2,0,"{'type': 'Polygon', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:EPSG::4326'}}, 'coordinates': [[[-73.6160235566653, 45.5120733337552], [-73.6161005496033, 45.511987492341], [-73.6162056640872, 45.5118703047563], [-73.6158199927192, 45.5116980001516], [-73.6155247223217, 45.5118520069435], [-73.615779897639, 45.511965229583], [-73.6159244445514, 45.5120293378819], [-73.6160235566653, 45.5120733337552]]]}",110167,1096,1000,Logement,0,2,50,9541-73-4436-3-000-0000,chemin de la Côte-Sainte-Catherine  (MTL+OUT),695,3036896,Régulier,0,1911,0362.00
2967,REM05,661,232,1,0,"{'type': 'Polygon', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:EPSG::4326'}}, 'coordinates': [[[-73.615107334391, 45.5123289404378], [-73.6148368323432, 45.512206282463], [-73.6145929077759, 45.5123306275565], [-73.614868059252, 45.5124554412592], [-73.6151379286056, 45.5125778298139], [-73.6152901352464, 45.5124118194864], [-73.6152515673429, 45.5123943098002], [-73.615107334391, 45.5123289404378]]]}",110313,1028,1000,Logement,0,2,50,9541-83-1691-5-000-0000,chemin de la Côte-Sainte-Catherine  (MTL+OUT),661,3036894,Régulier,0,1894,0362.00
2971,REM05,521,208,1,0,"{'type': 'Polygon', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:EPSG::4326'}}, 'coordinates': [[[-73.6102070139485, 45.5144453649739], [-73.6104537145925, 45.5149210086753], [-73.6105596544954, 45.5148930984132], [-73.6105237262387, 45.5148219488707], [-73.6103178042545, 45.5144148404626], [-73.6102070139485, 45.5144453649739]]]}",109815,511,1000,Logement,0,2,50,9641-16-7643-8-000-0000,chemin de la Côte-Sainte-Catherine  (MTL+OUT),521,3036858,Régulier,0,1923,0362.00
