,borough_id,building_number,built_area,dwelling_number,firstletter_apt,geom,index,land_area,landuse_code,landuse_text,lastletter_apt,max_floors,municipality_code,nad83_registration,street_name,street_number,uid,unit_category,unit_number,year_built,Tract
3104,REM19,1189,192,1,0,"{'type': 'Polygon', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:EPSG::4326'}}, 'coordinates': [[[-73.5800637836903, 45.4904933637962], [-73.5802659911089, 45.4902834477585], [-73.5801917561842, 45.4902482225649], [-73.5799895486156, 45.4904581384727], [-73.5800637836903, 45.4904933637962]]]}",25262,198,1000,Logement,0,2,50,9838-59-3641-8-000-0000,avenue Seymour  (MTL),1189,1002568,Régulier,0,1900,0066.02
3138,REM19,1938,145,4,0,"{'type': 'Polygon', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:EPSG::4326'}}, 'coordinates': [[[-73.5797639880629, 45.4916186682895], [-73.579986943427, 45.4917488225007], [-73.580040171, 45.4917032486723], [-73.5798173213491, 45.4915731844832], [-73.5797639880629, 45.4916186682895]]]}",25830,145,1000,Logement,0,2,50,9839-50-5484-8-000-0000,rue Tupper  (MTL+WMT),1938,1037432,Régulier,0,1875,0066.01
3141,REM19,2285,8748,137,0,"{'type': 'Polygon', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:EPSG::4326'}}, 'coordinates': [[[-73.58159638215, 45.4957064824051], [-73.5818783383086, 45.495462489316], [-73.5816757506306, 45.4953450133488], [-73.5814080167792, 45.4955718071239], [-73.5813892541882, 45.4955876592813], [-73.58159638215, 45.4957064824051]]]}",25955,726,1000,Logement,0,19,50,9839-45-1914-8-000-0000,rue Saint-Mathieu  (MTL),2285,1037199,Régulier,0,1974,0065.01
3153,REM19,1245,289,1,B,"{'type': 'Polygon', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:EPSG::4326'}}, 'coordinates': [[[-73.5802132866741, 45.4912168941129], [-73.5801564659611, 45.4911839964951], [-73.5800173319919, 45.4912990153317], [-73.5799944590378, 45.4913178399259], [-73.5800542375108, 45.4913528053939], [-73.5802132866741, 45.4912168941129]]]}",26363,57,1000,Logement,B,1,50,9839-50-3942-7-001-0001,rue du Fort  (MTL),1245,1111653,Condominium,0,1885,0066.01
3170,REM19,1536,649,1,0,"{'type': 'Polygon', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:EPSG::4326'}}, 'coordinates': [[[-73.582871846244, 45.4971845107538], [-73.5833789550572, 45.4973945455602], [-73.5834637502096, 45.4972834321713], [-73.5829432630947, 45.497090056173], [-73.582871846244, 45.4971845107538]]]}",24923,80,1000,Logement,0,1,50,9839-27-9904-9-002-0021,avenue Summerhill  (MTL),1536,1124285,Condominium,      6,1913,0129.01
3193,REM19,1234,412,2,0,"{'type': 'Polygon', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:EPSG::4326'}}, 'coordinates': [[[-73.5729117468423, 45.4985310292654], [-73.5728426795065, 45.4984975959095], [-73.5725894013192, 45.498760806859], [-73.5726624811609, 45.4987955877101], [-73.5726866190249, 45.4987712742274], [-73.5726820772457, 45.4987685773255], [-73.5729117468423, 45.4985310292654]]]}",25737,231,1000,Logement,0,3,50,9939-18-1461-5-000-0000,rue Stanley  (MTL),1238,1037439,Régulier,0,1875,0063.00
3206,REM19,1398,240,1,0,"{'type': 'Polygon', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:EPSG::4326'}}, 'coordinates': [[[-73.5719736765743, 45.494624573983], [-73.5718296821078, 45.4947547046839], [-73.5718547099197, 45.4947673779736], [-73.5720831276924, 45.4948821552796], [-73.5722270164798, 45.494752114322], [-73.5719736765743, 45.494624573983]]]}",25924,66,1000,Logement,0,2,50,9939-14-7030-1-003-0001,avenue Overdale  (MTL),1398,1127811,Condominium,0,1875,0063.00
3207,REM19,23,171,1,0,"{'type': 'Polygon', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:EPSG::4326'}}, 'coordinates': [[[-73.5820886917783, 45.4990356937303], [-73.5821386431461, 45.4989835518436], [-73.5819831782127, 45.4989102291918], [-73.5819333323084, 45.4989623709354], [-73.5820886917783, 45.4990356937303]]]}",25926,102,1000,Logement,0,2,50,9839-38-8897-3-000-0000,place Redpath  (MTL),23,1003528,Régulier,0,1923,0129.01
3222,REM19,1474,508,1,0,"{'type': 'Polygon', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:EPSG::4326'}}, 'coordinates': [[[-73.580720870963, 45.4974183231376], [-73.5807761984967, 45.4973618583647], [-73.5804411966772, 45.497199837235], [-73.5803854464262, 45.4972560321654], [-73.580720870963, 45.4974183231376]]]}",27233,242,1000,Logement,0,0,50,9839-57-0112-5-000-0000,rue Sherbrooke Ouest  (MTL+MTO+WMT),1476,1109168,Régulier,0,1986,0064.00
3228,REM19,1831,341,20,0,"{'type': 'Polygon', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:EPSG::4326'}}, 'coordinates': [[[-73.5776385089734, 45.4921381331851], [-73.5777031233866, 45.4920831937705], [-73.5772134990407, 45.4917987874417], [-73.5770989510752, 45.4919172056529], [-73.5775737896515, 45.4921930730838], [-73.5776385089734, 45.4921381331851]]]}",26758,775,1000,Logement,0,4,50,9839-71-5022-2-000-0000,boulevard René-Lévesque Ouest  (MTL),1831,1128836,Régulier,0,1957,0066.01
