index,ID_UEV,postal_code,tract,street_name,street_number
21657,1032300,H2L 3A5,49.0,rue Panet  (MTL),2094
21673,1026696,H2L 4A2,143.0,rue Saint-Hubert  (MTL),3686
21683,1027009,H2L 3X9,144.0,rue Saint-André  (MTL),4028
21697,1030006,H2J 3T5,147.0,rue Fabre  (MTL),4257
21719,1027553,H2L 1B6,144.0,avenue Duluth Est  (MTL),916
21734,1030047,H2J 3X1,147.0,rue Marquette  (MTL),4308
21748,1026834,H2L 1C2,144.0,rue Saint-Hubert  (MTL),3847
21783,1030008,H2J 3T5,147.0,rue Fabre  (MTL),4253
21820,1029976,H2J 3T8,147.0,rue Marie-Anne Est  (MTL),1558
21834,1026902,H2L 3Z8,144.0,rue Saint-Hubert  (MTL),3435
21836,1026908,H2L 3X5,144.0,rue Saint-Christophe  (MTL),3700
21845,1017939,H2J 3M3,146.0,rue Chambord  (MTL),4254
21849,1028893,H2J 3P1,147.0,rue De Lanaudière  (MTL),4311
21875,1026589,H2L 4H2,143.0,rue Berri  (MTL),3929
21975,1026236,H2H 1P9,150.0,rue Rachel Est  (MTL),2106
22034,1030526,H2J 3W8,147.0,rue Marquette  (MTL),4265
22056,1029563,H2J 3T6,147.0,rue Fabre  (MTL),4320
22058,1029565,H2J 3T6,147.0,rue Fabre  (MTL),4322
22096,1032285,H2L 1N3,49.0,rue Panet  (MTL),2032
22098,1032287,H2L 3A5,49.0,rue Panet  (MTL),2048
22116,1029553,H2J 3T6,147.0,rue Fabre  (MTL),4300
22148,1029555,H2J 3T6,147.0,rue Fabre  (MTL),4304
22149,1029557,H2J 3T6,147.0,rue Fabre  (MTL),4308
22150,1029559,H2J 3T6,147.0,rue Fabre  (MTL),4312
22207,1030517,H2J 3W8,147.0,rue Marquette  (MTL),4315
22209,1030519,H2J 3W8,147.0,rue Marquette  (MTL),4305
22248,1022601,H2K 3V8,150.0,avenue des Érables  (MTL),4132
22249,1022603,H2K 3V8,150.0,avenue des Érables  (MTL),4138
22283,1031874,H2H 1Z4,148.0,rue de Bordeaux  (MTL),4285
22331,1029547,H2J 3T6,147.0,rue Fabre  (MTL),4286
22339,1029988,H2J 3T5,147.0,rue Fabre  (MTL),4293
22367,1026813,H2L 4A6,144.0,rue Saint-Hubert  (MTL),3969
22457,1033909,H2J 2C6,147.0,rue Marie-Anne Est  (MTL),1482
22461,1033898,H2J 2C8,147.0,rue Marie-Anne Est  (MTL),1582
22466,1029096,H2J 3R5,147.0,rue Garnier  (MTL),4290
22474,1030053,H2J 3X1,147.0,rue Marquette  (MTL),4326
22479,1033892,H2J 3X2,147.0,rue Marie-Anne Est  (MTL),1650
22480,1033894,H2J 3X3,147.0,rue Marie-Anne Est  (MTL),1610
22485,1032214,H2L 3C8,49.0,rue de la Visitation  (MTL),2007
22499,1031908,H2H 2B1,148.0,avenue De Lorimier  (MTL),4238
22505,1033916,H2J 2C6,147.0,rue Marie-Anne Est  (MTL),1458
22520,1026896,H2L 3Z8,144.0,rue Saint-Hubert  (MTL),3447
22523,1026900,H2L 3Z8,144.0,rue Saint-Hubert  (MTL),3439
22528,1031885,H2H 1Z5,148.0,rue de Bordeaux  (MTL),4243
22530,1031912,H2H 2B1,148.0,avenue De Lorimier  (MTL),4248
22561,1033886,H2J 2E1,147.0,rue Marie-Anne Est  (MTL),1684
22562,1033888,H2J 2E1,147.0,rue Marie-Anne Est  (MTL),1674
22563,1033890,H2J 3X2,147.0,rue Marie-Anne Est  (MTL),1662
22577,1029105,H2J 3R5,147.0,rue Garnier  (MTL),4318
22690,1026619,H2L 4H2,143.0,rue Berri  (MTL),3827
22671,1032261,H2H 1R1,151.0,avenue De Lorimier  (MTL),4213
22678,1026817,H2L 4A6,144.0,rue Saint-Hubert  (MTL),3957
22679,1029980,H2J 3T5,147.0,rue Fabre  (MTL),4309
22699,1028897,H2J 3P1,147.0,rue De Lanaudière  (MTL),4321
22711,1026640,H2L 4A9,143.0,rue Berri  (MTL),3735
22739,1026240,H2H 1P9,150.0,rue Rachel Est  (MTL),2118
22780,1030522,H2J 3W9,147.0,rue Marquette  (MTL),4295
22796,1029551,H2J 3T6,147.0,rue Fabre  (MTL),4296
22842,1032430,H2L 2Y3,49.0,rue Plessis  (MTL),2170
22864,1032241,H2L 3C9,49.0,rue de la Visitation  (MTL),2093
22890,1032428,H2L 2Y3,49.0,rue Plessis  (MTL),2164
22914,1033922,H2J 2C4,147.0,rue Marie-Anne Est  (MTL),1396
22915,1033924,H2J 2C4,147.0,rue Marie-Anne Est  (MTL),1388
22926,1026761,H2L 4A5,143.0,rue Saint-Hubert  (MTL),3890
22957,1026767,H2L 4A5,143.0,rue Saint-Hubert  (MTL),3908
22964,1030024,H2J 3X1,147.0,rue Marquette  (MTL),4244
23011,1026968,H2L 3X6,144.0,rue Saint-André  (MTL),3824
23158,1029537,H2J 3T6,147.0,rue Fabre  (MTL),4258
23160,1029539,H2J 3T6,147.0,rue Fabre  (MTL),4262
23161,1029541,H2J 3T6,147.0,rue Fabre  (MTL),4270
23176,1026242,H2H 1P9,150.0,rue Rachel Est  (MTL),2126
23192,1029549,H2J 3T6,147.0,rue Fabre  (MTL),4292
23258,1120241,H2L 3X8,144.0,rue Saint-André  (MTL),3944
23310,1114819,H2L 4A2,143.0,rue Saint-Hubert  (MTL),3666
23479,1090670,H2L 1E6,144.0,rue Saint-André  (MTL),3776
23515,1032618,H2L 2T1,49.0,rue De Champlain  (MTL),2163
23596,1033799,H2H 1R1,151.0,rue Rachel Est  (MTL),2115
23625,1033885,H2J 2E1,147.0,rue Marie-Anne Est  (MTL),1694
23649,1029994,H2J 3T5,147.0,rue Fabre  (MTL),4281
23656,1115229,H2L 1L2,51.0,rue Sherbrooke Est  (MTE+MTL),916
23676,1030564,H2H 1S9,147.0,avenue Papineau  (MTL),4288
23714,1032624,H2L 2T1,49.0,rue De Champlain  (MTL),2131
23766,1116874,H2K 4B5,48.0,rue Dorion  (MTL),2371
23816,1116054,H2J 3K7,146.0,rue De Brébeuf  (MTL),4284
23859,1120212,H2J 3H9,146.0,rue De La Roche  (MTL),4256
23908,1096858,H2H 1T3,148.0,avenue Papineau  (MTL),99999
23927,1119557,H2J 3N8,147.0,rue De Lanaudière  (MTL),4297
23972,1116623,H2J 3X1,147.0,rue Marquette  (MTL),4300
23975,1123801,H2J 3N9,146.0,rue De Lanaudière  (MTL),4258
24003,1116614,H2J 3W8,147.0,rue Marquette  (MTL),4259
24091,1116099,H2J 3G2,146.0,avenue Christophe-Colomb  (MTL),4227
24126,1116088,H2K 3Z5,149.0,rue de Bordeaux  (MTL),4054
24140,1096800,H2K 3V5,150.0,avenue des Érables  (MTL),3466
24180,1116656,H2J 3R7,147.0,rue Garnier  (MTL),4283
24204,1096864,H2H 1T3,148.0,avenue Papineau  (MTL),4329
24215,1117395,H2L 3P6,51.0,rue Saint-Timothée  (MTL),2080
24217,1096158,H2L 3C8,49.0,rue de la Visitation  (MTL),2041
24232,1097890,H2L 1C3,144.0,rue Saint-André  (MTL),99999
24248,1096917,H2L 3X4,144.0,rue Saint-André  (MTL),3692
24263,1120157,H2L 4A6,144.0,rue Saint-Hubert  (MTL),3983
24327,1120167,H2J 2J5,141.0,rue Rachel Est  (MTL),1035
24352,1114562,H2K 3Z2,149.0,rue de Bordeaux  (MTL),3495
